id,name,image,price,time,months,createAt,updateAt,rarity
1,Bitterling,https://nookipedia.com/w/images/4/4d/Bitterling_NH_Icon.png,900,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:58.516,2025-05-09 17:59:04.506,Common
2,Pale Chub,https://nookipedia.com/w/images/e/e2/Pale_Chub_NH_Icon.png,200,"[9,10,11,12,13,14,15,16]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:58.986,2025-05-09 17:59:05.132,Common
3,Crucian Carp,https://nookipedia.com/w/images/f/f2/Crucian_Carp_NH_Icon.png,160,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.133,2025-05-09 17:59:05.237,Common
4,Dace,https://nookipedia.com/w/images/d/db/Dace_NH_Icon.png,240,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.239,2025-05-09 17:59:05.344,Common
5,Carp,https://nookipedia.com/w/images/5/5d/Carp_NH_Icon.png,300,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.345,2025-05-09 17:59:05.476,VeryCommon
6,Koi,https://nookipedia.com/w/images/2/2d/Koi_NH_Icon.png,4000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.447,2025-05-09 17:59:05.58,Rare
7,Goldfish,https://nookipedia.com/w/images/7/71/Goldfish_NH_Icon.png,1300,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.57,2025-05-09 17:59:05.683,Rare
8,Pop-Eyed Goldfish,https://nookipedia.com/w/images/0/0d/Pop-Eyed_Goldfish_NH_Icon.png,1300,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.693,2025-05-09 17:59:05.786,Rare
9,Ranchu Goldfish,https://nookipedia.com/w/images/3/35/Ranchu_Goldfish_NH_Icon.png,4500,"[9,10,11,12,13,14,15,16]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:48:59.809,2025-05-09 17:59:05.892,Rare
10,Killifish,https://nookipedia.com/w/images/e/ea/Killifish_NH_Icon.png,300,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[4,5,6,7,8]",2025-05-09 17:48:59.91,2025-05-09 17:59:05.996,Uncommon
11,Crawfish,https://nookipedia.com/w/images/9/96/Crawfish_NH_Icon.png,200,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[4,5,6,7,8,9]",2025-05-09 17:49:00.014,2025-05-09 17:59:06.11,Common
12,Soft-Shelled Turtle,https://nookipedia.com/w/images/e/eb/Soft-Shelled_Turtle_NH_Icon.png,3750,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[8,9]",2025-05-09 17:49:00.118,2025-05-09 17:59:06.218,Uncommon
13,Snapping Turtle,https://nookipedia.com/w/images/b/b1/Snapping_Turtle_NH_Icon.png,5000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[4,5,6,7,8,9,10]",2025-05-09 17:49:00.225,2025-05-09 17:59:06.321,Rare
14,Tadpole,https://nookipedia.com/w/images/b/bb/Tadpole_NH_Icon.png,100,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[3,4,5,6,7]",2025-05-09 17:49:00.333,2025-05-09 17:59:06.424,Uncommon
15,Frog,https://nookipedia.com/w/images/2/2f/Frog_NH_Icon.png,120,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[5,6,7,8]",2025-05-09 17:49:00.438,2025-05-09 17:59:06.527,Common
16,Freshwater Goby,https://nookipedia.com/w/images/e/ec/Freshwater_Goby_NH_Icon.png,400,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:00.542,2025-05-09 17:59:06.641,Rare
17,Loach,https://nookipedia.com/w/images/a/a5/Loach_NH_Icon.png,400,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[3,4,5]",2025-05-09 17:49:00.651,2025-05-09 17:59:06.742,Common
18,Catfish,https://nookipedia.com/w/images/0/0d/Catfish_NH_Icon.png,800,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:00.757,2025-05-09 17:59:06.845,Common
19,Giant Snakehead,https://nookipedia.com/w/images/5/50/Giant_Snakehead_NH_Icon.png,5500,"[9,10,11,12,13,14,15,16]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:00.869,2025-05-09 17:59:06.947,Rare
20,Bluegill,https://nookipedia.com/w/images/0/0c/Bluegill_NH_Icon.png,180,"[9,10,11,12,13,14,15,16]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:00.977,2025-05-09 17:59:07.05,VeryCommon
21,Yellow Perch,https://nookipedia.com/w/images/6/67/Yellow_Perch_NH_Icon.png,300,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,10,11,12]",2025-05-09 17:49:01.08,2025-05-09 17:59:07.152,Common
22,Black Bass,https://nookipedia.com/w/images/0/00/Black_Bass_NH_Icon.png,400,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:01.184,2025-05-09 17:59:07.268,VeryCommon
23,Tilapia,https://nookipedia.com/w/images/e/ef/Tilapia_NH_Icon.png,800,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[6,7,8,9,10]",2025-05-09 17:49:01.294,2025-05-09 17:59:07.379,Common
24,Pike,https://nookipedia.com/w/images/9/9f/Pike_NH_Icon.png,1800,"[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[9,10,11,12]",2025-05-09 17:49:01.413,2025-05-09 17:59:07.482,Uncommon
25,Pond Smelt,https://nookipedia.com/w/images/0/0f/Pond_Smelt_NH_Icon.png,300,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,12]",2025-05-09 17:49:01.516,2025-05-09 17:59:07.585,VeryCommon
26,Sweetfish,https://nookipedia.com/w/images/6/6a/Sweetfish_NH_Icon.png,900,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:01.627,2025-05-09 17:59:07.689,Uncommon
27,Cherry Salmon,https://nookipedia.com/w/images/d/db/Cherry_Salmon_NH_Icon.png,1000,"[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[3,4,5,6,9,10,11]",2025-05-09 17:49:01.738,2025-05-09 17:59:07.792,Common
28,Char,https://nookipedia.com/w/images/8/80/Char_NH_Icon.png,3800,"[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[3,4,5,6,9,10,11]",2025-05-09 17:49:01.84,2025-05-09 17:59:07.897,Rare
29,Golden Trout,https://nookipedia.com/w/images/f/fc/Golden_Trout_NH_Icon.png,15000,"[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[3,4,5,9,10,11]",2025-05-09 17:49:01.949,2025-05-09 17:59:08.011,VeryRare
30,Stringfish,https://nookipedia.com/w/images/e/eb/Stringfish_NH_Icon.png,15000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,12]",2025-05-09 17:49:02.053,2025-05-09 17:59:08.115,VeryRare
31,Salmon,https://nookipedia.com/w/images/c/ca/Salmon_NH_Icon.png,700,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",[9],2025-05-09 17:49:02.156,2025-05-09 17:59:08.225,VeryCommon
32,King Salmon,https://nookipedia.com/w/images/e/e1/King_Salmon_NH_Icon.png,1800,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",[9],2025-05-09 17:49:02.262,2025-05-09 17:59:08.329,Rare
33,Mitten Crab,https://nookipedia.com/w/images/9/9d/Mitten_Crab_NH_Icon.png,2000,"[0,1,2,3,4,5,6,16,17,18,19,20,21,22,23]","[9,10,11]",2025-05-09 17:49:02.373,2025-05-09 17:59:08.433,Rare
34,Guppy,https://nookipedia.com/w/images/3/38/Guppy_NH_Icon.png,1300,"[9,10,11,12,13,14,15,16]","[4,5,6,7,8,9,10,11]",2025-05-09 17:49:02.475,2025-05-09 17:59:08.541,Rare
35,Nibble Fish,https://nookipedia.com/w/images/0/0b/Nibble_Fish_NH_Icon.png,1500,"[9,10,11,12,13,14,15,16]","[5,6,7,8,9]",2025-05-09 17:49:02.578,2025-05-09 17:59:08.644,Uncommon
36,Angelfish,https://nookipedia.com/w/images/c/cd/Angelfish_NH_Icon.png,3000,"[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[5,6,7,8,9,10]",2025-05-09 17:49:02.683,2025-05-09 17:59:08.748,Rare
37,Betta,https://nookipedia.com/w/images/0/0b/Betta_NH_Icon.png,2500,"[9,10,11,12,13,14,15,16]","[6,7,8,9,10]",2025-05-09 17:49:02.784,2025-05-09 17:59:08.852,Rare
38,Neon Tetra,https://nookipedia.com/w/images/4/42/Neon_Tetra_NH_Icon.png,500,"[9,10,11,12,13,14,15,16]","[4,5,6,7,8,9,10,11]",2025-05-09 17:49:02.886,2025-05-09 17:59:08.96,Uncommon
39,Rainbowfish,https://nookipedia.com/w/images/e/e7/Rainbowfish_NH_Icon.png,800,"[9,10,11,12,13,14,15,16]","[5,6,7,8,9,10]",2025-05-09 17:49:02.987,2025-05-09 17:59:09.063,Uncommon
40,Piranha,https://nookipedia.com/w/images/c/c6/Piranha_NH_Icon.png,2500,"[0,1,2,3,4,9,10,11,12,13,14,21,22,23]","[6,7,8,9]",2025-05-09 17:49:03.091,2025-05-09 17:59:09.165,Rare
41,Arowana,https://nookipedia.com/w/images/6/67/Arowana_NH_Icon.png,10000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[6,7,8,9]",2025-05-09 17:49:03.194,2025-05-09 17:59:09.276,Rare
42,Dorado,https://nookipedia.com/w/images/f/fe/Dorado_NH_Icon.png,15000,"[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[6,7,8,9]",2025-05-09 17:49:03.306,2025-05-09 17:59:09.381,Rare
43,Gar,https://nookipedia.com/w/images/a/a2/Gar_NH_Icon.png,6000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[6,7,8,9]",2025-05-09 17:49:03.419,2025-05-09 17:59:09.491,Rare
44,Arapaima,https://nookipedia.com/w/images/b/b1/Arapaima_NH_Icon.png,10000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[6,7,8,9]",2025-05-09 17:49:03.525,2025-05-09 17:59:09.595,Rare
45,Saddled Bichir,https://nookipedia.com/w/images/4/46/Saddled_Bichir_NH_Icon.png,4000,"[0,1,2,3,4,21,22,23]","[6,7,8,9]",2025-05-09 17:49:03.636,2025-05-09 17:59:09.7,Rare
46,Sturgeon,https://nookipedia.com/w/images/9/91/Sturgeon_NH_Icon.png,10000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[3,4,5,6,7,8,9]",2025-05-09 17:49:03.745,2025-05-09 17:59:09.805,Rare
47,Sea Butterfly,https://nookipedia.com/w/images/f/f7/Sea_Butterfly_NH_Icon.png,1000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,12]",2025-05-09 17:49:03.847,2025-05-09 17:59:09.942,Common
48,Sea Horse,https://nookipedia.com/w/images/d/dc/Sea_Horse_NH_Icon.png,1100,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[4,5,6,7,8,9,10,11]",2025-05-09 17:49:03.958,2025-05-09 17:59:10.043,Common
50,Surgeonfish,https://nookipedia.com/w/images/c/cb/Surgeonfish_NH_Icon.png,1000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[4,5,6,7,8,9]",2025-05-09 17:49:04.164,2025-05-09 17:59:10.259,Uncommon
51,Butterfly Fish,https://nookipedia.com/w/images/4/47/Butterfly_Fish_NH_Icon.png,1000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[4,5,6,7,8,9]",2025-05-09 17:49:04.267,2025-05-09 17:59:10.362,Uncommon
52,Napoleonfish,https://nookipedia.com/w/images/3/30/Napoleonfish_NH_Icon.png,10000,"[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[7,8]",2025-05-09 17:49:04.371,2025-05-09 17:59:10.471,Rare
53,Zebra Turkeyfish,https://nookipedia.com/w/images/8/85/Zebra_Turkeyfish_NH_Icon.png,500,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[4,5,6,7,8,9,10,11]",2025-05-09 17:49:04.473,2025-05-09 17:59:10.595,Common
54,Blowfish,https://nookipedia.com/w/images/9/95/Blowfish_NH_Icon.png,5000,"[0,1,2,3,4,21,22,23]","[1,2,11,12]",2025-05-09 17:49:04.574,2025-05-09 17:59:10.706,Rare
55,Puffer Fish,https://nookipedia.com/w/images/e/ee/Puffer_Fish_NH_Icon.png,240,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[7,8,9]",2025-05-09 17:49:04.676,2025-05-09 17:59:10.814,Uncommon
56,Anchovy,https://nookipedia.com/w/images/7/7f/Anchovy_%28Fish%29_NH_Icon.png,200,"[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:04.781,2025-05-09 17:59:10.921,Common
57,Horse Mackerel,https://nookipedia.com/w/images/a/a3/Horse_Mackerel_NH_Icon.png,150,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:04.885,2025-05-09 17:59:11.042,VeryCommon
58,Barred Knifejaw,https://nookipedia.com/w/images/d/d5/Barred_Knifejaw_NH_Icon.png,5000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[3,4,5,6,7,8,9,10,11]",2025-05-09 17:49:04.992,2025-05-09 17:59:11.157,Rare
59,Sea Bass,https://nookipedia.com/w/images/7/7f/Sea_Bass_NH_Icon.png,400,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:05.097,2025-05-09 17:59:11.264,VeryCommon
60,Red Snapper,https://nookipedia.com/w/images/c/c1/Red_Snapper_NH_Icon.png,3000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:05.204,2025-05-09 17:59:11.373,Uncommon
61,Dab,https://nookipedia.com/w/images/1/1f/Dab_NH_Icon.png,300,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,10,11,12]",2025-05-09 17:49:05.306,2025-05-09 17:59:11.478,Common
62,Olive Flounder,https://nookipedia.com/w/images/b/b3/Olive_Flounder_NH_Icon.png,800,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:05.408,2025-05-09 17:59:11.6,Uncommon
63,Squid,https://nookipedia.com/w/images/b/bf/Squid_NH_Icon.png,500,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,12]",2025-05-09 17:49:05.512,2025-05-09 17:59:11.704,Common
64,Moray Eel,https://nookipedia.com/w/images/3/3e/Moray_Eel_NH_Icon.png,2000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[6,7,8,9,10,11,12]",2025-05-09 17:49:05.614,2025-05-09 17:59:11.808,Rare
65,Ribbon Eel,https://nookipedia.com/w/images/2/26/Ribbon_Eel_NH_Icon.png,600,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:05.729,2025-05-09 17:59:11.912,Uncommon
66,Tuna,https://nookipedia.com/w/images/4/4b/Tuna_NH_Icon.png,7000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,11,12]",2025-05-09 17:49:05.833,2025-05-09 17:59:12.016,Rare
67,Blue Marlin,https://nookipedia.com/w/images/2/2a/Blue_Marlin_NH_Icon.png,10000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[7,8,9]",2025-05-09 17:49:05.944,2025-05-09 17:59:12.118,VeryRare
68,Giant Trevally,https://nookipedia.com/w/images/1/17/Giant_Trevally_NH_Icon.png,4500,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:06.048,2025-05-09 17:59:12.22,Rare
69,Mahi-Mahi,https://nookipedia.com/w/images/d/d6/Mahi-Mahi_NH_Icon.png,6000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[5,6,7,8,9,10,11]",2025-05-09 17:49:06.165,2025-05-09 17:59:12.321,Rare
70,Ocean Sunfish,https://nookipedia.com/w/images/e/eb/Ocean_Sunfish_NH_Icon.png,4000,"[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[6,7,8,9]",2025-05-09 17:49:06.274,2025-05-09 17:59:12.422,Rare
71,Ray,https://nookipedia.com/w/images/9/9b/Ray_NH_Icon.png,3000,"[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9,10,11]",2025-05-09 17:49:06.411,2025-05-09 17:59:12.523,Rare
72,Saw Shark,https://nookipedia.com/w/images/4/45/Saw_Shark_NH_Icon.png,12000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[6,7,8,9]",2025-05-09 17:49:06.516,2025-05-09 17:59:12.624,Rare
73,Hammerhead Shark,https://nookipedia.com/w/images/e/ec/Hammerhead_Shark_NH_Icon.png,8000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[6,7,8,9]",2025-05-09 17:49:06.618,2025-05-09 17:59:12.727,Rare
74,Great White Shark,https://nookipedia.com/w/images/2/20/Great_White_Shark_NH_Icon.png,15000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[6,7,8,9]",2025-05-09 17:49:06.719,2025-05-09 17:59:12.83,Rare
75,Whale Shark,https://nookipedia.com/w/images/4/4f/Whale_Shark_NH_Icon.png,13000,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[6,7,8,9]",2025-05-09 17:49:06.818,2025-05-09 17:59:12.934,VeryRare
76,Suckerfish,https://nookipedia.com/w/images/d/de/Suckerfish_NH_Icon.png,1500,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[6,7,8,9]",2025-05-09 17:49:06.918,2025-05-09 17:59:13.04,Rare
77,Football Fish,https://nookipedia.com/w/images/3/34/Football_Fish_NH_Icon.png,2500,"[0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23]","[1,2,3,11,12]",2025-05-09 17:49:07.022,2025-05-09 17:59:13.145,Uncommon
78,Oarfish,https://nookipedia.com/w/images/5/50/Oarfish_NH_Icon.png,9000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,12]",2025-05-09 17:49:07.123,2025-05-09 17:59:13.25,Rare
79,Barreleye,https://nookipedia.com/w/images/e/e0/Barreleye_NH_Icon.png,15000,"[0,1,2,3,4,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:07.236,2025-05-09 17:59:13.356,VeryRare
80,Coelacanth,https://nookipedia.com/w/images/4/45/Coelacanth_NH_Icon.png,15000,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[1,2,3,4,5,6,7,8,9,10,11,12]",2025-05-09 17:49:07.343,2025-05-09 17:59:13.467,VeryRare